,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,4.8418639019404015,10,0.0023820439146919957
2,Continuous,exponnorm,3.0376178269677823 1.3985630048454003 0.36097244354309577,4.862709167306741,10,0.006697514181314197
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,4.964777705924094,60,0.027828151562023406
5,Continuous,alpha,3.234184146959686 -0.4670130355736609 8.100819609196023,4.860230391303059,60,0.006184348052051158
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,4.993267075078775,110,0.03372613478944631
8,Continuous,exponpow,0.641987924010825 1.006037507108781 2.6065231248462073,4.837967123375675,110,0.0015753172198693214
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.920382672093656,160,0.018637313973056447
11,Continuous,exponnorm,8.719640983421918 1.1996393931997216 0.15406953605511672,4.838534947173363,160,0.001692870375108123
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.83942326132942,210,0.0018767727270578168
14,Continuous,exponpow,0.6856226093664342 1.0148165566883598 3.126837965163002,4.85232279811667,210,0.004547286461484316
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.89014329955714,260,0.01237703804136339
17,Continuous,pearson3,2.0678186310049536 2.6195403105006987 1.6726354598903388,4.8344762363457185,260,0.000852619815103229
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.843229437113001,310,0.0026647424715017087
20,Continuous,exponnorm,689.104580528538 1.0080422684363088 0.002068583068187182,4.832261372060918,310,0.0003940897461555454
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.84705665190061,360,0.0034570677947655232
23,Continuous,genpareto,0.09742915598760254 1.0035889035185974 1.4090713126086278,4.834555748712158,360,0.0008690807834415
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.852703563258174,410,0.004626113985041915
26,Continuous,gamma,0.9616215792458014 1.0028847357581243 1.5984322864591982,4.831151855829096,410,0.00016439325514827738
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.810927182465623,460,-0.0040225995712012755
29,Continuous,genpareto,0.31679186452029384 1.0033853309813332 1.1778036227094808,4.856624824340668,460,0.005437909148680804
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.815657780836264,510,-0.003043252162902027
32,Continuous,weibull_min,1.0293593808321715 1.0018666020676281 1.5245640637396463,4.831292882759964,510,0.00019358921481872613
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
1,Discrete,,,5.138686550673574,10,0.06383145664975333
2,Continuous,exponpow,0.22767390627920409 1.0073741312202156 2.691275546410006,5.48232562416868,10,0.13497299301572427
3,Optimal,,,4.830357777590507,60,0
4,Discrete,,,4.9392074906549785,60,0.022534503255526632
5,Continuous,genpareto,-0.214960094159714 1.0251147484210916 2.5656511718817905,5.015401011037747,60,0.03830839079989315
6,Optimal,,,4.830357777590507,110,0
7,Discrete,,,4.888622024175385,110,0.0120620975231242
8,Continuous,exponnorm,2230.9534643123725 0.9990245933152728 0.0005896539197256722,4.844159298593635,110,0.0028572461168729865
9,Optimal,,,4.830357777590507,160,0
10,Discrete,,,4.9237676061043745,160,0.019338076559716567
11,Continuous,beta,0.8123341987296941 2.897366581802823 1.0010800292331579 6.997264334281482,4.979814171710026,160,0.030941060890539527
12,Optimal,,,4.830357777590507,210,0
13,Discrete,,,4.863329627988857,210,0.006825964435039621
14,Continuous,weibull_min,1.0221993359220738 1.0037918055374084 1.6397222623528043,4.838501436614995,210,0.001685932885193056
15,Optimal,,,4.830357777590507,260,0
16,Discrete,,,4.9410835875823444,260,0.022922900350265594
17,Continuous,genpareto,0.012101772240178381 1.0010724806505538 1.659804667787296,4.8385091033494225,260,0.001687520083239405
18,Optimal,,,4.830357777590507,310,0
19,Discrete,,,4.894037917955367,310,0.013183317529871468
20,Continuous,pearson3,2.0464687050285457 2.4930523677214467 1.5212187590672828,4.830706021391566,310,7.209482549610347e-05
21,Optimal,,,4.830357777590507,360,0
22,Discrete,,,4.8340136079612295,360,0.0007568446353359362
23,Continuous,gamma,0.8624270348532737 1.0003198097750516 1.7971752356414692,4.836429621581752,360,0.0012570174448390547
24,Optimal,,,4.830357777590507,410,0
25,Discrete,,,4.8250173246124195,410,-0.00110560194999703
26,Continuous,beta,0.9811891047260425 1276.2035576280496 1.0032814362534885 1941.9784408090661,4.830412570277623,410,1.1343401387489223e-05
27,Optimal,,,4.830357777590507,460,0
28,Discrete,,,4.854721108714681,460,0.00504379432041314
29,Continuous,beta,0.9499556195181282 173.1325670319904 1.006534837061108 267.8906411351559,4.830928058984231,460,0.00011806193660638707
30,Optimal,,,4.830357777590507,510,0
31,Discrete,,,4.7944763207823184,510,-0.007428322799328321
32,Continuous,weibull_min,0.9531013382015532 1.0007402963076737 1.4703071330730988,4.832410416232513,510,0.00042494546708914626
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,4.830357777590507,10,0
