,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,12.443479716873387,10,0.042389321012191984
2,Continuous,dgamma,0.8422480835770605 8.176353498871354 1.0591067312278444,12.234805100928408,10,0.02490866478285699
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,12.314538599041839,60,0.03158793367318868
5,Continuous,dweibull,1.4305032969044014 7.992618325292616 1.824080802669715,11.93816087055926,60,5.8800845088892324e-05
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.255763805640827,110,0.02666437383463036
8,Continuous,laplace,7.630963473662865 1.7663840212704298,12.240277052122401,110,0.025367049705683972
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.648806765592514,160,0.05958955179727873
11,Continuous,dweibull,1.2456238849823569 7.731107035125968 1.4749541891327307,12.097984593211375,160,0.013447221570448484
12,Optimal,,,11.937458937885499,210,0
13,Discrete,,,12.23771907696322,210,0.025152768327001016
14,Continuous,dweibull,1.255789523278854 7.959970248550176 1.5884510577304762,11.975775321485102,210,0.0032097604522852243
15,Optimal,,,11.937458937885499,260,0
16,Discrete,,,12.141235802894494,260,0.017070372017136407
17,Continuous,gamma,681.3446424766494 -44.16000654462684 0.07663338739921,11.938794994931873,260,0.00011192139410295798
18,Optimal,,,11.937458937885499,310,0
19,Discrete,,,12.013107049723864,310,0.006337036402134428
20,Continuous,beta,3.3411072585562396 3.948363651454354 3.093817194767462 10.861813977736478,12.029844221395349,310,0.007739107961800016
21,Optimal,,,11.937458937885499,360,0
22,Discrete,,,12.115931911823854,360,0.014950667044553475
23,Continuous,lognorm,0.006688146554818208 -280.4904114523325 288.4161330579966,11.947291046835685,360,0.000823634996471746
24,Optimal,,,11.937458937885499,410,0
25,Discrete,,,12.151555124621499,410,0.01793482078975207
26,Continuous,loggamma,776.735708003223 -341.57356472010406 52.54909159785029,11.939931569599501,410,0.0002071321649664997
27,Optimal,,,11.937458937885499,460,0
28,Discrete,,,11.975329876630912,460,0.003172445571747603
29,Continuous,exponnorm,0.33893696563522 7.432346002334842 1.9232675075179175,11.943648022281412,460,0.0005184591149688722
30,Optimal,,,11.937458937885499,510,0
31,Discrete,,,12.08222466501189,510,0.012127013619871205
32,Continuous,exponweib,7.984700292873358 7.800295180073348 -26.88471088688263 30.93614249527208,11.942539176403061,510,0.0004255711826106967
,Function,Fit,Parameters,Cost,Trainset,EML
0,Optimal,,,11.937458937885499,10,0
1,Discrete,,,12.659373920133309,10,0.06047476150528934
2,Continuous,dgamma,1.357429793299037 8.108621087571521 1.3426688623671459,11.985365715200729,10,0.004013146982494751
3,Optimal,,,11.937458937885499,60,0
4,Discrete,,,11.9918714216191,60,0.004558129499479553
5,Continuous,dweibull,1.1779373105836621 8.311773977092766 1.646769739642869,11.957256195739863,60,0.0016584147394663933
6,Optimal,,,11.937458937885499,110,0
7,Discrete,,,12.089844822148446,110,0.012765353586208047
8,Continuous,exponweib,0.7447129016501643 4.402861046285244 1.829276371105081 7.405802911516846,11.963370156251672,110,0.002170580732549395
9,Optimal,,,11.937458937885499,160,0
10,Discrete,,,12.450921131747569,160,0.04301268775321295
